9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         28495       19753024  [Ljava.lang.Object; (java.base@21.0.6)
   2:        132779       15337176  [B (java.base@21.0.6)
   3:        123328        3946496  java.lang.String (java.base@21.0.6)
   4:         15343        2979208  java.lang.Class (java.base@21.0.6)
   5:          6631        2213784  [I (java.base@21.0.6)
   6:         50915        2036600  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   7:         10446        1504224  java.lang.reflect.Method (java.base@21.0.6)
   8:         11866        1237904  [Ljava.util.HashMap$Node; (java.base@21.0.6)
   9:         20373        1140888  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  10:         10897         958936  java.util.LinkedHashMap (java.base@21.0.6)
  11:           718         878672  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
  12:         20353         814120  java.util.HashMap$Node (java.base@21.0.6)
  13:          7179         459456  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  14:         12656         404992  java.util.ArrayList (java.base@21.0.6)
  15:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  16:          3246         363552  java.lang.reflect.Field (java.base@21.0.6)
  17:         21565         345040  java.lang.Object (java.base@21.0.6)
  18:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  19:          4917         314688  java.lang.invoke.MemberName (java.base@21.0.6)
  20:          2790         312480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  21:          9317         306712  [Ljava.lang.Class; (java.base@21.0.6)
  22:          3041         291936  io.netty.buffer.PoolSubpage
  23:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  24:          1697         244368  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  25:          3968         222208  java.lang.ref.SoftReference (java.base@21.0.6)
  26:          2991         191424  java.lang.invoke.MethodType (java.base@21.0.6)
  27:          2242         190072  [Ljava.lang.String; (java.base@21.0.6)
  28:          3280         183680  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  29:          2811         179904  java.util.HashMap (java.base@21.0.6)
  30:          1797         172512  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
  31:          7179         172296  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  32:          4291         171640  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
  33:          6746         161904  java.util.jar.Attributes (java.base@21.0.6)
  34:          3363         161424  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  35:          4884         156288  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  36:           487         153096  [C (java.base@21.0.6)
  37:          4556         145792  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
  38:          3000         144000  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  39:          8711         139376  java.lang.Integer (java.base@21.0.6)
  40:           234         138528  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  41:          3456         138240  io.netty.util.AsciiString
  42:          1137         136440  java.lang.reflect.Constructor (java.base@21.0.6)
  43:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  44:          1255         130520  java.lang.Class$ReflectionData (java.base@21.0.6)
  45:          3198         127920  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  46:          1481         118480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
  47:            16         117984  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
  48:          3584         114688  com.aerospike.client.async.HashedWheelTimer$HashedWheelBucket
  49:           695         112944  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
  50:            94         111584  [Lio.netty.buffer.PoolSubpage;
  51:           826         109032  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  52:          1614         103296  java.util.WeakHashMap$Entry (java.base@21.0.6)
  53:          3180         101760  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
  54:          2373          94920  kotlin.SafePublicationLazyImpl
  55:          3875          93000  java.util.concurrent.locks.ReentrantLock (java.base@21.0.6)
  56:           888          91664  [Ljava.lang.reflect.Method; (java.base@21.0.6)
  57:          1612          90272  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
  58:           797          89264  io.netty.buffer.PooledUnsafeDirectByteBuf
  59:          2784          89088  io.netty.util.Recycler$DefaultHandle
  60:            85          87864  [Lio.netty.handler.codec.http2.HpackHeaderField;
  61:          1162          83664  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.6)
  62:           844          82568  [J (java.base@21.0.6)
  63:          1688          81024  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
  64:           765          79560  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
  65:           583          79288  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
  66:          1944          77760  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue
  67:           358          74464  kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedSimpleFunctionDescriptor
  68:           124          72416  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  69:           669          65328  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.6)
  70:          2693          64632  kotlin.reflect.jvm.internal.impl.name.Name
  71:          1150          64400  java.lang.invoke.DirectMethodHandle (java.base@21.0.6)
  72:          1341          64368  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
