9:
 num     #instances         #bytes  class name (module)
  89:         23890        1270960  [C (java.base@21.0.6)
  90:         21930        1228080  io.grpc.internal.CallTracer
  91:         76498        1223968  java.lang.Object (java.base@21.0.6)
  92:         47356        1136544  java.lang.Long (java.base@21.0.6)
  93:         47128        1131072  io.netty.util.collection.IntObjectHashMap$1
  94:         47128        1131072  io.netty.util.collection.IntObjectHashMap$EntrySet
  95:         47128        1131072  io.netty.util.collection.IntObjectHashMap$KeySet
  96:         23488        1127424  io.grpc.netty.WriteQueue
  97:         23488        1127424  io.netty.handler.codec.http2.DefaultHttp2Connection$ActiveStreams
  98:         23488        1127424  io.netty.handler.codec.http2.HpackDynamicTable
  99:         23488        1127424  io.netty.handler.codec.http2.HpackHuffmanEncoder
 100:         23454        1125792  io.grpc.netty.ProtocolNegotiators$WaitUntilActiveHandler
 101:         46314        1111536  java.util.LinkedHashSet (java.base@21.0.6)
 102:         34417        1101344  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.6)
 103:         45657        1095768  java.util.IdentityHashMap$KeySet (java.base@21.0.6)
 104:         27219        1088760  io.grpc.Status
 105:         21928        1052544  io.grpc.internal.ChannelTracer
 106:         43687        1048488  java.net.InetSocketAddress (java.base@21.0.6)
 107:         10857        1042272  io.grpc.internal.DelayedClientTransport
 108:         10857         955416  io.grpc.NameResolver$Args
 109:         23530         941200  io.netty.channel.DefaultChannelId
 110:         23511         940440  io.netty.channel.AdaptiveRecvByteBufAllocator
 111:         23488         939520  io.grpc.netty.Utils$FlowControlReader
 112:         23488         939520  io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder
 113:         23488         939520  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodeProcessor
 114:         23471         938840  io.grpc.netty.ClientTransportLifecycleManager
 115:         23471         938840  io.grpc.netty.GrpcHttp2HeadersUtils$GrpcHttp2ClientHeadersDecoder
 116:         23454         938160  io.grpc.netty.WriteBufferingAndExceptionHandler
 117:         11071         885680  io.grpc.internal.ManagedChannelImpl$SubchannelImpl
 118:         21947         877880  com.google.common.base.Stopwatch
 119:         21878         875120  java.net.Inet6Address (java.base@21.0.6)
 120:         21878         875120  java.net.Inet6Address$Inet6AddressHolder (java.base@21.0.6)
 121:         10858         868640  com.google.common.collect.SingletonImmutableBiMap
 122:         21714         868560  io.grpc.internal.CallCredentialsApplyingTransportFactory
 123:         33329         799896  java.util.HashSet (java.base@21.0.6)
 124:         10922         786384  java.net.NetworkInterface (java.base@21.0.6)
 125:         23564         754048  io.netty.channel.SucceededChannelFuture
 126:         23534         753088  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 127:         23488         751616  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultStream$PropertyMap
 128:         23488         751616  io.netty.handler.codec.http2.DefaultHttp2Connection$PropertyKeyRegistry
 129:         23488         751616  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$WritabilityMonitor
 130:         23488         751616  io.netty.handler.codec.http2.HpackHuffmanDecoder
 131:         23488         751616  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodedLengthProcessor
 132:         23488         751616  io.netty.handler.codec.http2.Http2FrameLogger
 133:         23488         751616  io.netty.handler.codec.http2.Http2InboundFrameLogger
 134:         23488         751616  io.netty.handler.codec.http2.Http2OutboundFrameLogger
 135:         23471         751072  io.grpc.internal.AtomicBackoff$State
 136:         23471         751072  io.grpc.internal.InternalSubchannel$CallTracingTransport
 137:         23471         751072  io.grpc.internal.InternalSubchannel$TransportListener
 138:         23471         751072  io.grpc.netty.NettyChannelBuilder$NettyTransportFactory$1
 139:         23471         751072  io.grpc.netty.NettyClientHandler$1
