10:
 num     #instances         #bytes  class name (module)
  90:          1589          50848  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.6)
  91:           627          50096  [S (java.base@21.0.6)
  92:          2080          49920  java.lang.Double (java.base@21.0.6)
  93:          2079          49896  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  94:          1202          48080  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@21.0.6)
  95:          1200          48000  com.google.inject.spi.Dependency
  96:           428          47936  java.net.URL (java.base@21.0.6)
  97:           998          47904  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
  98:          1483          47456  io.netty.handler.codec.http2.HpackHeaderField
  99:           217          46872  io.grpc.netty.NettyClientTransport
 100:           388          46560  com.google.common.cache.LocalCache$Segment
 101:          1439          46048  com.google.inject.TypeLiteral
 102:           244          45504  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
 103:           244          45504  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
 104:           610          43920  java.lang.invoke.LambdaForm (java.base@21.0.6)
 105:          1338          42816  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 106:          1325          42400  java.util.ArrayDeque (java.base@21.0.6)
 107:           657          42048  java.lang.reflect.Parameter (java.base@21.0.6)
 108:          1044          41760  sun.util.locale.BaseLocale$Key (java.base@21.0.6)
 109:           400          41600  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
 110:           576          41472  io.netty.util.collection.IntObjectHashMap
 111:           414          39744  io.netty.channel.DefaultChannelPipeline$HeadContext
 112:            68          39712  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 113:           989          39560  java.net.InetAddress$InetAddressHolder (java.base@21.0.6)
 114:           488          39040  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 115:           805          38640  java.lang.ref.ReferenceQueue (java.base@21.0.6)
 116:           685          38360  java.util.IdentityHashMap (java.base@21.0.6)
 117:          1587          38088  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.6)
 118:           949          37960  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.6)
 119:           414          36432  io.netty.channel.ChannelOutboundBuffer
 120:           414          36432  io.netty.channel.DefaultChannelPipeline$TailContext
 121:          1134          36288  kotlin.reflect.jvm.internal.impl.name.FqName
 122:           749          35952  java.lang.ref.WeakReference (java.base@21.0.6)
 123:           886          35440  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.6)
 124:           488          35136  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultEndpoint
 125:          1095          35040  org.bouncycastle.asn1.ASN1ObjectIdentifier
