9:
 num     #instances         #bytes  class name (module)
  89:         35000        1120000  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.6)
  90:         46339        1112136  java.util.IdentityHashMap$KeySet (java.base@21.0.6)
  91:         27740        1109600  io.grpc.Status
  92:         22111        1061328  io.grpc.internal.ChannelTracer
  93:         43891        1053384  java.net.InetSocketAddress (java.base@21.0.6)
  94:         10905        1046880  io.grpc.internal.DelayedClientTransport
  95:         24069         962760  io.netty.channel.DefaultChannelId
  96:         24046         961840  io.netty.channel.AdaptiveRecvByteBufAllocator
  97:         24023         960920  io.grpc.netty.Utils$FlowControlReader
  98:         24023         960920  io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder
  99:         24023         960920  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodeProcessor
 100:         24006         960240  io.grpc.netty.ClientTransportLifecycleManager
 101:         24006         960240  io.grpc.netty.GrpcHttp2HeadersUtils$GrpcHttp2ClientHeadersDecoder
 102:         10905         959640  io.grpc.NameResolver$Args
 103:         23989         959560  io.grpc.netty.WriteBufferingAndExceptionHandler
 104:         11206         896480  io.grpc.internal.ManagedChannelImpl$SubchannelImpl
 105:         22130         885200  com.google.common.base.Stopwatch
 106:         22022         880880  java.net.Inet6Address (java.base@21.0.6)
 107:         22022         880880  java.net.Inet6Address$Inet6AddressHolder (java.base@21.0.6)
 108:         10906         872480  com.google.common.collect.SingletonImmutableBiMap
 109:         21810         872400  io.grpc.internal.CallCredentialsApplyingTransportFactory
 110:           508         855664  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
 111:         33473         803352  java.util.HashSet (java.base@21.0.6)
 112:         10994         791568  java.net.NetworkInterface (java.base@21.0.6)
 113:         24103         771296  io.netty.channel.SucceededChannelFuture
 114:         24069         770208  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 115:         24023         768736  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultStream$PropertyMap
 116:         24023         768736  io.netty.handler.codec.http2.DefaultHttp2Connection$PropertyKeyRegistry
 117:         24023         768736  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$WritabilityMonitor
 118:         24023         768736  io.netty.handler.codec.http2.HpackHuffmanDecoder
 119:         24023         768736  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodedLengthProcessor
 120:         24023         768736  io.netty.handler.codec.http2.Http2FrameLogger
 121:         24023         768736  io.netty.handler.codec.http2.Http2InboundFrameLogger
 122:         24023         768736  io.netty.handler.codec.http2.Http2OutboundFrameLogger
 123:         24006         768192  io.grpc.internal.AtomicBackoff$State
 124:         24006         768192  io.grpc.internal.InternalSubchannel$CallTracingTransport
 125:         24006         768192  io.grpc.internal.InternalSubchannel$TransportListener
 126:         24006         768192  io.grpc.netty.NettyChannelBuilder$NettyTransportFactory$1
 127:         24006         768192  io.grpc.netty.NettyClientHandler$1
 128:         24006         768192  io.grpc.netty.NettyClientHandler$2
 129:         22111         707552  io.grpc.internal.ChannelLoggerImpl
 130:         21987         703584  java.net.InterfaceAddress (java.base@21.0.6)
 131:         21810         697920  io.grpc.internal.ManagedChannelImpl$ExecutorHolder
 132:         10905         697920  io.grpc.internal.Rescheduler
 133:         42108         673728  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.6)
 134:         37634         602144  java.lang.Integer (java.base@21.0.6)
 135:          6178         593088  io.netty.buffer.PoolSubpage
 136:         24480         587520  java.util.concurrent.atomic.AtomicLong (java.base@21.0.6)
 137:         24069         577656  io.netty.channel.VoidChannelPromise$1
 138:         24069         577656  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe$1
 139:         24069         577656  io.netty.channel.epoll.LinuxSocket
 140:         24045         577080  io.netty.channel.epoll.AbstractEpollStreamChannel$1
 141:         24024         576576  io.grpc.Attributes
 142:         24023         576552  io.grpc.netty.WriteQueue$1
 143:         24023         576552  io.netty.handler.codec.http2.DefaultHttp2FrameWriter
 144:         24023         576552  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController$1
 145:         24023         576552  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$1
 146:         24023         576552  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$1
 147:         24023         576552  io.netty.util.collection.CharObjectHashMap$1
 148:         24023         576552  io.netty.util.collection.CharObjectHashMap$EntrySet
 149:         24023         576552  io.netty.util.collection.CharObjectHashMap$KeySet
 150:         24006         576144  io.grpc.internal.CallCredentialsApplyingTransportFactory$CallCredentialsApplyingTransport$1
 151:         24006         576144  io.grpc.internal.InternalSubchannel$TransportLogger
 152:         24006         576144  io.grpc.netty.NettyClientHandler$FrameListener
 153:         24006         576144  io.grpc.netty.NettyClientHandler$PingCountingFrameWriter
 154:         24006         576144  io.netty.handler.codec.http2.StreamBufferingEncoder$1
 155:         23989         575736  io.grpc.netty.ProtocolNegotiators$GrpcNegotiationHandler
 156:         23989         575736  io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder$PrefaceFrameListener
 157:          3975         572400  java.lang.reflect.Method (java.base@21.0.6)
 158:         11617         557616  java.lang.ref.WeakReference (java.base@21.0.6)
 159:         11207         537936  io.grpc.internal.AutoConfiguredLoadBalancerFactory$AutoConfiguredLoadBalancer
 160:         22010         528240  java.util.HashMap$KeySet (java.base@21.0.6)
 161:         21949         526776  java.util.concurrent.atomic.AtomicReference (java.base@21.0.6)
 162:         21818         523632  io.grpc.internal.FixedObjectPool
 163:         10905         523440  io.grpc.internal.ManagedChannelImpl$RealChannel
 164:         10905         523440  io.grpc.internal.ManagedChannelImpl$UncommittedRetriableStreamsRegistry
 165:         10904         523392  io.grpc.NameResolverRegistry
 166:         11207         448280  io.grpc.internal.PickFirstLoadBalancer
 167:         11206         448240  io.grpc.LoadBalancer$CreateSubchannelArgs
 168:         11023         440920  java.util.concurrent.CountDownLatch$Sync (java.base@21.0.6)
 169:         10905         436200  io.grpc.SynchronizationContext
 170:          3736         416952  [Ljava.lang.StackTraceElement; (java.base@21.0.6)
 171:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
 172:         24793         396688  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.6)
 173:          6880         385280  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
 174:         11207         358624  io.grpc.internal.ManagedChannelImpl$LbHelperImpl
 175:         11206         358592  io.grpc.ConnectivityStateInfo
 176:         11206         358592  io.grpc.internal.InternalSubchannel$1
 177:         11206         358592  io.grpc.internal.InternalSubchannel$Index
 178:         11206         358592  io.grpc.internal.ManagedChannelImpl$SubchannelImpl$1ManagedInternalSubchannelCallback
 179:         11206         358592  io.grpc.internal.PickFirstLoadBalancer$1
 180:         10995         351824  [Ljava.net.InetAddress; (java.base@21.0.6)
 181:         10994         351800  [Ljava.net.InterfaceAddress; (java.base@21.0.6)
 182:         10905         348960  io.grpc.internal.AtomicBackoff
 183:         10905         348960  io.grpc.internal.AutoConfiguredLoadBalancerFactory
 184:         10905         348960  io.grpc.internal.ConnectivityStateManager
 185:         10905         348960  io.grpc.internal.DelayedClientTransport$1
 186:         10905         348960  io.grpc.internal.DelayedClientTransport$2
 187:         10905         348960  io.grpc.internal.DelayedClientTransport$PickerState
 188:         10905         348960  io.grpc.internal.ManagedChannelImpl$1ChannelCallTracerFactory
 189:         10905         348960  io.grpc.internal.ManagedChannelImpl$ChannelStreamProvider
 190:         10905         348960  io.grpc.internal.ManagedChannelImpl$IdleModeStateAggregator
 191:         10905         348960  io.grpc.internal.MetricRecorderImpl
 192:         10905         348960  io.grpc.internal.ScParser
 193:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
 194:           493         291856  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 195:          7009         280360  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
 196:          6946         277840  io.grpc.internal.PickFirstLoadBalancer$RequestConnectionPicker
 197:         11485         275640  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.6)
 198:          4247         271808  java.lang.invoke.MemberName (java.base@21.0.6)
 199:          6708         268320  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 200:         11178         268272  java.util.HashMap$EntrySet (java.base@21.0.6)
 201:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
 202:         11023         264552  java.util.concurrent.CountDownLatch (java.base@21.0.6)
 203:         10910         261840  io.grpc.internal.SharedResourcePool
 204:         10909         261816  io.netty.channel.ReflectiveChannelFactory
 205:         10908         261792  io.netty.channel.WriteBufferWaterMark
 206:         10905         261720  io.grpc.internal.ManagedChannelImpl$3
 207:         10905         261720  io.grpc.internal.ManagedChannelImpl$DelayedTransportListener
 208:         10905         261720  io.grpc.internal.ManagedChannelImpl$IdleModeTimer
 209:         10905         261720  io.grpc.internal.ManagedChannelImpl$RealChannel$1
 210:         10905         261720  io.grpc.internal.ManagedChannelImpl$RestrictedScheduledExecutor
 211:         10905         261720  io.grpc.internal.RetriableStream$ChannelBufferMeter
 212:         10904         261696  io.grpc.NameResolverRegistry$NameResolverFactory
 213:         10903         261672  com.aerospike.vector.interconnect.InterconnectChannelProvider$MultiAddressNameResolverFactory
 214:         10903         261672  io.grpc.internal.NameResolverFactoryToProviderFacade
 215:          3715         208040  io.netty.channel.AbstractChannel$AnnotatedConnectException
 216:          3715         208040  java.net.ConnectException (java.base@21.0.6)
 217:           182         198496  [Lio.netty.buffer.PoolSubpage;
 218:          2941         188224  java.lang.invoke.MethodType (java.base@21.0.6)
 219:          3275         183400  java.lang.ref.SoftReference (java.base@21.0.6)
 220:          1718         183320  [Ljava.lang.String; (java.base@21.0.6)
 221:          5632         180224  com.aerospike.client.async.HashedWheelTimer$HashedWheelBucket
 222:         11208         179392  [[Ljava.lang.Object; (java.base@21.0.6)
 223:          3734         179232  io.grpc.LoadBalancer$PickResult
 224:         10994         175904  [Ljava.net.NetworkInterface; (java.base@21.0.6)
 225:         10925         174800  io.grpc.internal.ExponentialBackoffPolicy$Provider
 226:         10907         174512  io.grpc.netty.ProtocolNegotiators$PlaintextProtocolNegotiator
 227:         10905         174480  io.grpc.netty.NettyChannelBuilder$LocalSocketPicker
 228:          6593         158232  java.util.concurrent.locks.ReentrantLock (java.base@21.0.6)
 229:          2311         147904  io.grpc.internal.ExponentialBackoffPolicy
 230:          4450         142400  io.netty.util.Recycler$DefaultHandle
 231:          2942         141216  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
 232:          3747         139280  [Ljava.lang.Class; (java.base@21.0.6)
 233:           236         137824  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 234:          2856         137088  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 235:           887         135920  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
 236:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
 237:          2079         133056  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 238:          3106         124240  java.util.concurrent.locks.AbstractQueuedSynchronizer$SharedNode (java.base@21.0.6)
 239:            10         117360  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
 240:          1778         113792  java.util.WeakHashMap$Entry (java.base@21.0.6)
 241:           796         105072  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
