9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        132726       14628784  [B (java.base@21.0.6)
   2:         30106        9057832  [Ljava.lang.Object; (java.base@21.0.6)
   3:        123353        3947296  java.lang.String (java.base@21.0.6)
   4:         14905        2897520  java.lang.Class (java.base@21.0.6)
   5:         50541        2021640  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   6:          7096        1825336  [I (java.base@21.0.6)
   7:         10425        1501200  java.lang.reflect.Method (java.base@21.0.6)
   8:         11934        1240624  [Ljava.util.HashMap$Node; (java.base@21.0.6)
   9:         20315        1137640  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  10:         11102         976976  java.util.LinkedHashMap (java.base@21.0.6)
  11:           718         878032  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
  12:         20237         809480  java.util.HashMap$Node (java.base@21.0.6)
  13:          7179         459456  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  14:         13338         426816  java.util.ArrayList (java.base@21.0.6)
  15:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  16:          3133         350896  java.lang.reflect.Field (java.base@21.0.6)
  17:         21329         341264  java.lang.Object (java.base@21.0.6)
  18:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  19:          2790         312480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  20:          9184         301432  [Ljava.lang.Class; (java.base@21.0.6)
  21:          4700         300800  java.lang.invoke.MemberName (java.base@21.0.6)
  22:           269         279224  [Lio.netty.handler.codec.http2.HpackHeaderField;
  23:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  24:          1697         244368  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  25:          3951         221256  java.lang.ref.SoftReference (java.base@21.0.6)
  26:          1124         220056  [J (java.base@21.0.6)
  27:          2241         190040  [Ljava.lang.String; (java.base@21.0.6)
  28:          2880         184320  java.util.HashMap (java.base@21.0.6)
  29:          2820         180480  java.lang.invoke.MethodType (java.base@21.0.6)
  30:          7179         172296  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  31:          1793         172128  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
  32:           671         161928  [C (java.base@21.0.6)
  33:          6746         161904  java.util.jar.Attributes (java.base@21.0.6)
  34:          4884         156288  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  35:          3218         154464  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  36:          4749         151968  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
  37:          1529         146784  io.netty.buffer.PoolSubpage
  38:          1155         138600  java.lang.reflect.Constructor (java.base@21.0.6)
  39:          8646         138336  java.lang.Integer (java.base@21.0.6)
  40:          2823         135504  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  41:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  42:          1252         130208  java.lang.Class$ReflectionData (java.base@21.0.6)
  43:          3231         129240  io.netty.util.AsciiString
  44:          1481         118480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
  45:            16         117984  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
  46:          2924         116960  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
  47:          2080         116480  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  48:           788         104016  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  49:           636         103616  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
  50:          3035          97120  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
  51:          2373          94920  kotlin.SafePublicationLazyImpl
  52:           888          91416  [Ljava.lang.reflect.Method; (java.base@21.0.6)
  53:          1400          89600  java.util.WeakHashMap$Entry (java.base@21.0.6)
  54:          1472          82432  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
